,index,Gene_name,MIM_id,MIM_phenotype_id,MIM_disease,Orphanet_disorder,Orphanet_association_type,Trait_association(GWAS),Interactions(ConsensusPathDB)_rankscore,gnomAD_pLI_rankscore,GDI_rankscore,LoFtool_score_rankscore
1541,10453,GSN,137350,105120;,[MIM:105120]Amyloidosis 5;,AGel amyloidosis,Disease-causing germline mutation(s) in,Blood protein levels[30072576];,0.9142331288343558,0.1039195461578133,0.16888540850952755,0.08916513198281154
1542,10457,GSR,138300,,,Hemolytic anemia due to glutathione reductase deficiency,Disease-causing germline mutation(s) in,,0.8424539877300613,0.1815368746776689,0.35656486557034717,0.3867403314917127
1543,10458,GSS,601002,231900;266130;,[MIM:266130]Glutathione synthetase deficiency;[MIM:231900]Glutathione synthetase deficiency of erythrocytes;,Glutathione synthetase deficiency with 5-oxoprolinuria;Glutathione synthetase deficiency without 5-oxoprolinuria,Disease-causing germline mutation(s) (loss of function) in;Disease-causing germline mutation(s) in,Waist-to-hip ratio adjusted for BMI (age >50)[26426971];QRS complex (Cornell)[27659466];Hemostatic factors and hematological phenotypes[22443383];Blood protein levels[28240269];Waist-to-hip ratio adjusted for BMI[26426971];Waist-to-hip ratio adjusted for BMI x sex x age interaction (4df test)[26426971];,0.36171779141104293,0.23878287777204746,0.7047768206734534,0.584561080417434
1544,10502,GTF2E2,189964,616943;,"[MIM:616943]Trichothiodystrophy 6, non-photosensitive [recessive?];",Trichothiodystrophy,Disease-causing germline mutation(s) in,Cognitive performance[20125193];Metabolite levels  (X-11787)[23934736];,0.8202453987730062,0.4713769984528107,0.8332028191072827,0.28759975445058317
1545,10514,GTF2H5,608780,616395;,"[MIM:616395]Trichothiodystrophy 3, photosensitive [recessive?];",Trichothiodystrophy,Disease-causing germline mutation(s) in,Lipoprotein (a) levels[26377243];Systemic sclerosis[29293537];,0.6430674846625767,0.5165033522434245,0.9736361263377709,0.34392265193370164
1546,10515,GTF2I,601679,,,Williams syndrome,Role in the phenotype of,Systemic lupus erythematosus[28714469];Sjögren's syndrome[24097066;27503288];Atrial fibrillation[30061737;29892015];Menarche (age at onset)[25231870];,0.950920245398773,0.9027849406910778,0.7039937353171496,0.0
1547,10538,GTF2IRD1,604318,,,Williams syndrome,Role in the phenotype of,Neuroticism[29255261];Systemic lupus erythematosus[28714469;26663301];Aluminium levels[26025379];Sjögren's syndrome[24097066];Severe influenza A (H1N1) infection[26379185];,0.7499386503067484,0.8249097472924187,0.6439571913338554,0.5339165131982812
1548,10559,GTPBP3,608536,580000;616198;,[MIM:616198]Combined oxidative phosphorylation deficiency 23 [recessive?];,Combined oxidative phosphorylation defect type 23,Disease-causing germline mutation(s) in,,0.7425766871165644,0.13873130479628676,0.32602453667449754,0.3218232044198895
1549,10570,GUCA1A,600364,602093;,[MIM:602093]Cone dystrophy 3 [dominant?];,Cone rod dystrophy;Progressive cone dystrophy;Central areolar choroidal dystrophy,Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) (gain of function) in,,0.17791411042944785,0.3184631253223311,0.7580266249021144,0.3207489257213014
1550,10571,GUCA1B,602275,613827;,,Retinitis pigmentosa,Disease-causing germline mutation(s) in,,0.10711656441717791,0.29783393501805056,0.6731923779691986,0.3319521178637201
1551,10576,GUCY1A1,139396,615750;,,Moyamoya disease with early-onset achalasia,Disease-causing germline mutation(s) (loss of function) in,"Systolic blood pressure[21909115;25249183;27618452;28739976];Hypertension[25249183];Myocardial infarction[26343387];Diastolic blood pressure[21909115;25249183;28739976];Diastolic blood pressure x alcohol consumption interaction (2df test)[29912962;29912962];Influenza A (H1N1) severity[26379185];Coronary heart disease[22751097];Coronary artery disease[26343387;29212778;29212778;29212778];Diastolic blood pressure x alcohol consumption (light vs heavy) interaction (2df test)[29912962;29912962];Pulse pressure[28135244];Blood pressure[21909110];Systolic blood pressure x alcohol consumption interaction (2df test)[29912962;29912962;29912962];Coronary artery disease (myocardial infarction, percutaneous transluminal coronary angioplasty, coronary artery bypass grafting, angina or chromic ischemic heart disease)[28714975];Mean arterial pressure x alcohol consumption (light vs heavy) interaction (2df test)[29912962;29912962];Diabetic kidney disease[26305897];Mean arterial pressure x alcohol consumption interaction (2df test)[29912962];",0.2498159509202454,0.1511088189788551,0.0,0.0
1552,10580,GUCY2C,601330,614616;614665;,[MIM:614616]Diarrhea 6;[MIM:614665]Meconium ileus;,Chronic infantile diarrhea due to guanylate cyclase 2C overactivity;Intestinal obstruction in the newborn due to guanylate cyclase 2C deficiency,Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in,Menopause (age at onset)[26414677];Orthostatic hypotension[24124408];,0.14576687116564419,0.0110881897885508,0.6593578700078309,0.46608348680171885
1553,10581,GUCY2D,600179,204000;215500;601777;,"[MIM:601777]Cone-rod dystrophy 6;[MIM:215500]Choroidal dystrophy, central areolar, 1 [recessive?];",Cone rod dystrophy;Leber congenital amaurosis;Central areolar choroidal dystrophy,Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) (loss of function) in;Disease-causing germline mutation(s) in,,0.21484662576687116,0.1258380608561114,0.07543722265726964,0.8044812768569675
1554,10585,GUF1,617064,617065;,"[MIM:617065]Epileptic encephalopathy, early infantile, 40 [recessive?];",West syndrome,Disease-causing germline mutation(s) in,Systolic blood pressure[26969751];,0.8685889570552148,0.0407426508509541,0.09997389715478987,0.058011049723756904
1555,10590,GUSB,611499,253220;,[MIM:253220]Mucopolysaccharidosis 7 [recessive?];,Mucopolysaccharidosis type 7,Disease-causing germline mutation(s) in,,0.8023312883435583,0.2926766374419804,0.8616549203863221,0.8115408225905464
1556,10616,GYG1,603942,613507;616199;,[MIM:613507]Glycogen storage disease 15;[MIM:616199]Polyglucosan body myopathy 2;,Glycogen storage disease with severe cardiomyopathy due to glycogenin deficiency;Polyglucosan body myopathy type 2,Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) (loss of function) in,Diverticular disease[30177863];,0.5920245398773006,0.5526044352759154,0.6473505612111721,0.024248004910988337
1557,10626,GYPC,110750,611162;616089;,,Hereditary elliptocytosis,Disease-causing germline mutation(s) in,Pelvic organ prolapse (moderate/severe)[26545240;26545240];Pyoderma gangrenosum in inflammatory bowel disease[24487271];Intelligence[22449649];Atrial fibrillation[30061737;29892015];Initial pursuit acceleration[29064472];,0.14576687116564419,0.6464672511603919,0.6661446097624641,0.13812154696132597
1558,10628,GYS1,138570,611556;,[MIM:611556]Muscle glycogen storage disease 0;,Glycogen storage disease due to muscle and heart glycogen synthase deficiency,Disease-causing germline mutation(s) in,,0.914601226993865,0.6634863331614235,0.4766379535369355,0.15408225905463474
1559,10629,GYS2,138571,240600;,[MIM:240600]Glycogen storage disease 0;,Glycogen storage disease due to hepatic glycogen synthase deficiency,Disease-causing germline mutation(s) in,Cough in response to angiotensin-converting enzyme inhibitor drugs[28084903];,0.838159509202454,0.02449716348633316,0.3965022187418429,0.09975445058317986
1560,10630,GZF1,613842,617662;,"[MIM:617662]Joint laxity, short stature, and myopia [recessive?];",Severe myopia-generalized joint laxity-short stature syndrome,Disease-causing germline mutation(s) in,,0.6444171779141105,0.7911294481691593,0.5583398590446359,0.3365561694290976
1561,10673,H6PD,138090,604931;,,Hyperandrogenism due to cortisone reductase deficiency,Disease-causing germline mutation(s) (loss of function) in,Height[23563607;25282103];Blood protein levels[29875488;30072576];,0.10711656441717791,0.13821557503867973,0.12633777081701905,0.8141497851442603
1562,10674,H19,103280,,,Nephroblastoma;Isolated hemihyperplasia;Silver-Russell syndrome due to an imprinting defect of 11p15;Silver-Russell syndrome due to 11p15 microduplication;Beckwith-Wiedemann syndrome due to 11p15 microdeletion;Beckwith-Wiedemann syndrome due to imprinting defect of 11p15,Role in the phenotype of;Disease-causing germline mutation(s) in;Role in the phenotype of;Role in the phenotype of;Role in the phenotype of;Role in the phenotype of,Systolic blood pressure[28135244];DNA methylation (variation)[23725790;23725790];Celiac disease[23936387];Diastolic blood pressure (cigarette smoking interaction)[29455858];Squamous cell lung carcinoma[28604730];Creatinine levels[29403010];DNA methylation (parent-of-origin)[23725790];Systolic blood pressure (cigarette smoking interaction)[29455858];Glomerular filtration rate[29403010];,0.038773006134969326,0.0,0.0,0.0
1563,10675,HAAO,604521,617660;,"[MIM:617660]Vertebral, cardiac, renal, and limb defects syndrome 1 [recessive?];",Congenital vertebral-cardiac-renal anomalies syndrome,Disease-causing germline mutation(s) (loss of function) in,Systolic blood pressure[28739976;28739976];Glucose homeostasis traits[25524916];Breastfeeding duration[25475840];Hypospadias[25108383];White matter hyperintensity burden[25663218;25663218];,0.14576687116564419,0.16993295513151108,0.16053249804228661,0.1329036218538981
1564,10676,HABP2,603924,616535;,"[MIM:616535]Thyroid cancer, non-medullary, 5;",Familial papillary or follicular thyroid carcinoma,Disease-causing germline mutation(s) in,Peripheral arterial disease (traffic-related air pollution interaction)[27082954];Central corneal thickness[29760442];Heel bone mineral density[28869591;28869591];Eosinophil counts[27863252];Plasma factor VII activating protease levels[30070759];Ischemic stroke[26732560];Blood protein levels[29875488;29875488;29875488;29875488];Waist-to-hip ratio adjusted for body mass index[28430825];Eosinophil percentage of white cells[27863252];,0.19190184049079756,0.06008251676121712,0.5596450013051423,0.7558317986494782
1565,10678,HACD1,610467,255310;,"[MIM:255310]Myopathy, congenital, with fiber-type disproportion;",Congenital fiber-type disproportion myopathy,Disease-causing germline mutation(s) (loss of function) in,,0.30319018404907977,0.1771531717380093,0.0,0.0
1566,10682,HACE1,610876,616756;,[MIM:616756]Spastic paraplegia and psychomotor retardation with or without seizures [recessive?];,Neuroblastoma;Spastic paraplegia-severe developmental delay-epilepsy syndrome,Major susceptibility factor in;Disease-causing germline mutation(s) (loss of function) in,Waist circumference adjusted for BMI in inactive individuals[28448500];Waist circumference adjusted for BMI (joint analysis main effects and physical activity interaction)[28448500;28448500];Multiple sclerosis[23412934];Age at voice drop[27182965];Schizophrenia[28991256];Thyroid stimulating hormone[17903292];Sporadic neuroblastoma[28545128];Waist circumference adjusted for body mass index[28448500;28448500];Menarche (age at onset)[19448622;27182965];Neuroblastoma[22941191];Epilepsy and lamotrigine-induced maculopapular eruptions[26220383];Major depressive disorder[27479909];Obsessive-compulsive disorder[22889921];Height[18391951];Waist circumference adjusted for BMI in active individuals[28448500];Intraocular pressure[29617998];,0.5867484662576687,0.6206807632800413,0.7736883320281911,0.2303560466543892
1567,10684,HADH,601609,231530;609975;,[MIM:231530]3-alpha-hydroxyacyl-CoA dehydrogenase deficiency [recessive?];[MIM:609975]Familial hyperinsulinemic hypoglycemia 4;,Hyperinsulinism due to short chain 3-hydroxylacyl-CoA dehydrogenase deficiency,Disease-causing germline mutation(s) in,Amyotrophic lateral sclerosis (sporadic)[24529757];,0.8260122699386503,0.27333677153171737,0.21639258679196033,0.5268569674647022
1568,10685,HADHA,600890,609015;609016;,[MIM:609015]Mitochondrial trifunctional protein deficiency;[MIM:609016]Long-chain 3-hydroxyl-CoA dehydrogenase deficiency;[MIM:609016]Maternal acute fatty liver of pregnancy;,Acute fatty liver of pregnancy;Mitochondrial trifunctional protein deficiency;Long chain 3-hydroxyacyl-CoA dehydrogenase deficiency,Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in,,0.9990184049079754,0.5593089221248067,0.4374836857217437,0.4932473910374463
1569,10688,HADHB,143450,609015;,[MIM:609015]Mitochondrial trifunctional protein deficiency;,Mitochondrial trifunctional protein deficiency,Disease-causing germline mutation(s) in,,0.987239263803681,0.09463641052088706,0.6750195771339076,0.5207182320441989
1570,10693,HAL,609457,235800;,[MIM:235800]Histidinemia;,Histidinemia,Disease-causing germline mutation(s) in,Vitamin D levels[28757204];Metabolite levels (small molecules and protein measures)[27005778];,0.5395092024539877,0.0556988138215575,0.57347950926651,0.23680171884591775
1571,10694,HAMP,606464,613313;,[MIM:613313]Hemochromatosis 2B;,Hemochromatosis type 2,Disease-causing germline mutation(s) in,Irritable bowel syndrome[29673008];,0.12711656441717792,0.4283135636926251,0.9613677890890107,0.4114487415592388
1572,10709,HARS,142810,614504;616625;,[MIM:616625]Charcot-Marie-Tooth disease 2W [dominant?];,Usher syndrome type 3;Autosomal dominant Charcot-Marie-Tooth disease type 2W,Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) (loss of function) in,,0.5531288343558283,0.35275915420319753,0.5570347167841295,0.31752608962553713
1573,10710,HARS2,600783,614926;,,Perrault syndrome,Disease-causing germline mutation(s) in,,0.8804907975460122,0.30917998968540483,0.7601148525189245,0.2576734192756292
1574,10737,HAX1,605998,610738;,"[MIM:610738]Neutropenia, severe congenital 3, autosomal recessive [recessive?];",Kostmann syndrome,Disease-causing germline mutation(s) in,Serum total protein level[29403010];Non-albumin protein levels[29403010];Nicotine dependence[28440896];,0.9425766871165644,0.5386797318205261,0.8386844166014096,0.025475751995089013
1575,10738,HBA1,141800,140700;604131;613978;,[MIM:140700]Heinz body anemias;[MIM:604131]Alpha-thalassemia;[MIM:613978]Hemoglobin H disease;,Hb Bart's hydrops fetalis;Hemoglobin M disease;Hemoglobin H disease;Alpha-thalassemia-intellectual disability syndrome linked to chromosome 16,Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in;Role in the phenotype of,Body mass index[26426971];Mean corpuscular hemoglobin concentration[27863252];Mean corpuscular hemoglobin[20139978;27863252;27863252];Reticulocyte fraction of red cells[27863252];Mean corpuscular volume[27863252];Hemoglobin levels[26366553];Red blood cell count[27863252];,0.6954601226993865,0.5716864363073749,0.9864265204907335,0.0
1576,10739,HBA2,141850,140700;604131;613978;,[MIM:140700]Heinz body anemias;[MIM:604131]Alpha-thalassemia;[MIM:613978]Hemoglobin H disease;,Hb Bart's hydrops fetalis;Hemoglobin M disease;Hemoglobin H disease;Alpha-thalassemia-intellectual disability syndrome linked to chromosome 16,Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in;Role in the phenotype of,Body mass index[26426971];Mean corpuscular hemoglobin[20139978;28453575];High light scatter reticulocyte percentage of red cells[27863252];Reticulocyte fraction of red cells[27863252];Reticulocyte count[27863252];Hemoglobin levels[26366553];High light scatter reticulocyte count[27863252];Red cell distribution width[27863252];,0.038773006134969326,0.4731820526044353,0.9754633255024797,0.0
1577,10741,HBB,141900,140700;603902;603903;611162;613985;,"[MIM:140700]Heinz body anemias;[MIM:613985]Beta-thalassemia;[MIM:603903]Sickle cell anemia;[MIM:603902]Beta-thalassemia, dominant, inclusion body type [dominant?];",Sickle cell anemia;Hereditary persistence of fetal hemoglobin-sickle cell disease syndrome;Sickle cell-hemoglobin D disease syndrome;Sickle cell-hemoglobin E disease syndrome;Sickle cell-beta-thalassemia disease syndrome;Sickle cell-hemoglobin C disease syndrome;Hemoglobin C disease;Hemoglobin E disease;Hemoglobin E-beta-thalassemia syndrome;Hemoglobin C-beta-thalassemia syndrome;Delta-beta-thalassemia;Dominant beta-thalassemia;Beta-thalassemia intermedia;Beta-thalassemia major;Hemoglobin Lepore-beta-thalassemia syndrome;Hemoglobin M disease;Hereditary persistence of fetal hemoglobin-beta-thalassemia syndrome;Hemoglobin D disease,Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in;Part of a fusion gene in;Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in,Fetal hemoglobin levels[18245381];Hematology traits[23263863];Mean corpuscular hemoglobin concentration[23263863;28453575];Mean corpuscular volume[28453575];Malaria[19465909;23717212;22895189];Hemoglobin levels[26366553;26366553];HbA2 levels[23043469];Hematocrit[28453575];F-cell distribution[17767159];Inflammatory biomarkers[22291609];Severe malaria[29381699];Urinary albumin-to-creatinine ratio[27650483;27650483];,0.647361963190184,0.22331098504383703,0.6228138867136518,0.9699201964395334
1578,10743,HBD,142000,,,Delta-beta-thalassemia;Hemoglobin Lepore-beta-thalassemia syndrome,Disease-causing germline mutation(s) in;Part of a fusion gene in,Hematology traits[23263863];Mean corpuscular hemoglobin concentration[23263863];Hemoglobin levels[26366553;26366553];Beta thalassemia/hemoglobin E disease[20183929];,0.5900613496932515,0.40845796802475504,0.874706342991386,0.7306629834254144
1579,10746,HBG1,142200,,,Hereditary persistence of fetal hemoglobin-sickle cell disease syndrome;Delta-beta-thalassemia;Hereditary persistence of fetal hemoglobin-beta-thalassemia syndrome,Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in,Hematology traits[23263863];Mean corpuscular hemoglobin concentration[23263863];Hemoglobin levels[26366553;26366553];Beta thalassemia/hemoglobin E disease[20183929];,0.21484662576687116,0.7343991748323878,0.9741581832419733,0.0
1580,10747,HBG2,142250,613977;,[MIM:613977]Cyanosis transient neonatal;,Hereditary persistence of fetal hemoglobin-sickle cell disease syndrome;Hemoglobinopathy Toms River;Hereditary persistence of fetal hemoglobin-beta-thalassemia syndrome,Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in,Mean corpuscular hemoglobin concentration[28453575];Hemoglobin levels[26366553;26366553];Hemoglobin[28548082];Red cell distribution width[27863252];Beta thalassemia/hemoglobin E disease[20183929];,0.26588957055214724,0.7702423929860753,0.9269120334116419,0.6658993247391037
1581,10758,HCCS,300056,309801;,[MIM:309801]Linear skin defects with multiple congenital anomalies 1;,Microphthalmia with linear skin defects syndrome,Disease-causing germline mutation(s) in,Cognitive performance[19734545];,0.7861349693251534,0.8625580195977308,0.8916731923779692,0.0
1582,10759,HCFC1,300019,309541;,"[MIM:309541]Mental retardation, X-linked 3;","X-linked non-syndromic intellectual disability;Methylmalonic acidemia with homocystinuria, type cblX",Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in,Celiac disease[22057235];Rheumatoid arthritis (ACPA-positive)[23143596];Systemic lupus erythematosus[26502338];Rheumatoid arthritis[23143596];,0.956319018404908,0.9409489427539969,0.7068650482902636,0.9895641497851443
1583,10801,HCN1,602780,615871;,"[MIM:615871]Epileptic encephalopathy, early infantile, 24;",Undetermined early-onset epileptic encephalopathy,Disease-causing germline mutation(s) (gain of function) in,P wave duration[28794112;28794112];Autism spectrum disorder or schizophrenia[28540026];Non-response to bupropion and depression[27622933];Survival in microsatellite instability low/stable colorectal cancer[25866641];Squamous cell lung carcinoma[28604730];Schizophrenia[25056061;28991256];Survival in colon cancer[25866641];Post bronchodilator FEV1/FVC ratio[26634245];Age at first birth[27798627;27798627];,0.12711656441717792,0.9748581743166581,0.5103106238580005,0.7745549416820136
1584,10804,HCN4,605206,163800;613123;,[MIM:163800]Sick sinus syndrome 2;[MIM:613123]Brugada syndrome 8;,Familial sick sinus syndrome;Brugada syndrome,Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in,Heart rate[23583979];Nickel levels[26025379];Resting heart rate[27798624;29769521];Heart rate variability traits (SDNN)[28613276;28613276];Heart rate variability traits (pvRSA/HF)[28613276];Heart rate variability traits (RMSSD)[28613276];Atrial fibrillation[22544366;28416818;30061737;29892015;29892015];Waist-to-hip ratio adjusted for BMI[26426971];Waist-to-hip ratio adjusted for BMI x sex x age interaction (4df test)[26426971];,0.16220858895705523,0.9675090252707581,0.4633255024797703,0.0
1585,10807,HCRT,602358,161400;,[MIM:161400]Narcolepsy 1;,Narcolepsy type 1;Narcolepsy type 2,Major susceptibility factor in;Candidate gene tested in,,0.19190184049079756,0.49767921609076843,0.8660924040720438,0.0
1586,10818,HDAC4,605314,600430;,[MIM:600430]Brachydactyly-mental retardation syndrome;,2q37 microdeletion syndrome,Role in the phenotype of,"Male-pattern baldness[22693459];Perioperative myocardial infarction in coronary artery bypass surgery[25948407];Pulmonary function[21946350;21946350];Alanine aminotransferase (ALT) levels after remission induction therapy in actute lymphoblastic leukemia (ALL)[28090653];Autism spectrum disorder, attention deficit-hyperactivity disorder, bipolar disorder, major depressive disorder, and schizophrenia (combined)[23453885];Pulmonary function (smoking interaction)[23284291];Amyotrophic lateral sclerosis in C9orf72 mutation positive individuals[22959728];Obstructive sleep apnea trait (apnea hypopnea index)[29077507];Mean arterial pressure[29403010];",0.7412269938650307,0.7006188757091284,0.5826155050900548,0.7120933087783916
1587,10821,HDAC6,300272,300863;,"[MIM:300863]Chondrodysplasia with platyspondyly, distinctive brachydactyly, hydrocephaly, and microphthalmia;","X-linked dominant chondrodysplasia, Chassaing-Lacombe type",Disease-causing germline mutation(s) in,,0.8078527607361963,1.0,0.49725920125293654,0.9134438305709024
1588,10823,HDAC8,300269,300882;309585;,[MIM:300882]Cornelia de Lange syndrome 5;[MIM:309585]Wilson-Turner X-linked mental retardation syndrome;,Cornelia de Lange syndrome;Wilson-Turner syndrome,Disease-causing germline mutation(s) (loss of function) in;Disease-causing germline mutation(s) (loss of function) in,Sodium levels[29403010];Chloride levels[29403010];,0.43754601226993867,0.6817947395564724,0.9386583137561995,0.36955187231430325
1589,10865,HELLPAR,614985,,,HELLP syndrome,Major susceptibility factor in,,0.038773006134969326,0.0,0.0,0.0
1590,10866,HELLS,603946,616911;,[MIM:616911]Immunodeficiency-centromeric instability-facial anomalies syndrome 4;,ICF syndrome,Disease-causing germline mutation(s) in,Thiopurine-induced alopecia in inflammatory bowel disease[29923122];,0.8743558282208589,0.6413099535843219,0.7186113286348212,0.6206261510128913
1591,10874,HEPACAM,611642,613925;613926;,"[MIM:613925]Leukoencephalopathy, megalencephalic, with subcortical cysts, 2A;[MIM:613926]Leukoencephalopathy, megalencephalic, with subcortical cysts, 2B;",Macrocephaly-intellectual disability-autism syndrome;Megalencephalic leukoencephalopathy with subcortical cysts,Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in,Breast cancer (survival)[25890600];,0.038773006134969326,0.8282619907168643,0.3959801618376403,0.697206875383671
1592,10879,HERC1,605109,617011;,,Megalencephaly-severe kyphoscoliosis-overgrowth syndrome,Disease-causing germline mutation(s) (loss of function) in,Glucagon levels in response to oral glucose tolerance test (120 minutes)[29093273];Reticulocyte fraction of red cells[27863252];Atrial fibrillation[30061737];Iris characteristics[21835309];Disease progression in age-related macular degeneration[29346644;29346644];,0.5170552147239263,0.5226921093347087,0.0772644218219786,0.24846531614487416
1593,10880,HERC2,605837,227220;615516;,"[MIM:615516]Mental retardation, autosomal recessive 38 [recessive?];",Developmental delay with autism spectrum disorder and gait instability,Disease-causing germline mutation(s) (loss of function) in,Light vs. dark hair color[26184321];Skin sensitivity to sun[25963972];Iris color[18252221];Squamous cell carcinoma[26829030];Eye color[23548203;23548203;23118974];Tanning[23548203];Colorectal cancer[29228715];Uveal melanoma[28781888];Low tan response[29739929];Brown vs. non-brown hair color[26184321];Blond vs non-blond hair color[26184321];Eye color traits[20463881];Rosacea symptom severity[29771307;29771307];Black vs. blond hair color[18483556];Vitiligo[22561518;27723757];Monobrow[27182965];Diisocyanate-induced asthma[25918132];Perceived skin darkness[25963972];Black vs. red hair color[18483556];Hair color[23548203;29662168;26926045];Skin colour saturation[25963972];,0.8792638036809816,0.7715317173800929,0.15948838423388148,0.5320748925721301
1594,10904,HES7,608059,613686;,"[MIM:613686]Spondylocostal dysostosis 4, autosomal recessive [recessive?];",Autosomal recessive spondylocostal dysostosis,Disease-causing germline mutation(s) in,Height[25282103];,0.14576687116564419,0.778236204228984,0.9091620986687549,0.0
1595,10905,HESX1,601802,182230;262600;,"[MIM:182230]Septooptic dysplasia;[MIM:182230]Growth hormone deficiency with pituitary anomalies;[MIM:182230]Pituitary hormone deficiency, combined, 5;","Septo-optic dysplasia spectrum;Kallmann syndrome;Hypothyroidism due to deficient transcription factors involved in pituitary development or function;Pituitary stalk interruption syndrome;Combined pituitary hormone deficiencies, genetic forms",Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in,,0.28662576687116564,0.7864878803506963,0.39754633255024796,0.38459177409453654
1596,10906,HEXA,606869,272800;,[MIM:272800]GM2-gangliosidosis 1 [recessive?];,"Tay-Sachs disease, B variant, juvenile form;Tay-Sachs disease, B variant, infantile form;Tay-Sachs disease, B1 variant;Tay-Sachs disease, B variant, adult form",Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in;Disease-causing germline mutation(s) in,,0.7456441717791411,0.09231562661165549,0.5831375619942574,0.6883057090239411
1597,10908,HEXB,606873,268800;,[MIM:268800]GM2-gangliosidosis 2 [recessive?];,"Sandhoff disease, infantile form;Sandhoff disease, adult form;Sandhoff disease, juvenile form",Disease-causing germline mutation(s) (loss of function) in;Disease-causing germline mutation(s) (loss of function) in;Disease-causing germline mutation(s) (loss of function) in,Night sleep phenotypes[27126917];,0.5009815950920246,0.20113460546673542,0.2317932654659358,0.4699201964395335
1598,10916,HFE,613609,176200;235200;612635;614193;,[MIM:235200]Hemochromatosis 1;[MIM:176200]Variegate porphyria;[MIM:612635]Microvascular complications of diabetes 7;,Symptomatic form of hemochromatosis type 1;Sporadic porphyria cutanea tarda;Familial porphyria cutanea tarda,Disease-causing germline mutation(s) in;Major susceptibility factor in;Modifying germline mutation in,"Diastolic blood pressure (cigarette smoking interaction)[29455858];Mean corpuscular hemoglobin concentration[28017375;27863252;27863252;29403010];Mean corpuscular volume[19862010;20139978;28017375];Mean corpuscular hemoglobin[23263863;28017375;28453575;29403010];Hematological parameters[19820697];Hematocrit[19862010;28017375;27863252];High light scatter reticulocyte count[27863252];Mean arterial pressure[27618448];Alcohol consumption (transferrin glycosylation)[21665994];Hemoglobin concentration[27863252];Intelligence (MTAG)[29326435;29326435];Reticulocyte fraction of red cells[27863252;27863252];Red blood cell traits[20927387;20927387;20927387;23222517;23446634];Hemoglobin[19862010;19820698;28453575];Systolic blood pressure x smoking status (ever vs never) interaction (2df test)[29455858;29455858];Hepcidin levels[21785125;21785125;21785125;21785125];Blood pressure[21909110];Cardiovascular disease risk factors[21943158];Cholesterol, total[20686565;24097068];Iron status biomarkers (transferrin saturation)[25352340;28334935];Platelet count[27863252];Hypertension[21909115];Systolic blood pressure[21909115;27618452;28739976];Hematology traits[19853236;23263863];Iron status biomarkers (ferritin levels)[25352340;28334935];Iron status biomarkers[21149283;21149283;21208937;19084217;19084217;19084217;19820699;19820699;21483845;21483845;25224454];High light scatter reticulocyte percentage of red cells[27863252];Reticulocyte count[27863252;27863252];Glycated hemoglobin levels[20858683;28898252;28898252];Autism spectrum disorder or schizophrenia[28540026;28540026;28540026;28540026];Diastolic blood pressure[21909115;27618452;28739976;27618447];Iron status biomarkers (total iron binding capacity)[28334935;28334935];Diastolic blood pressure x smoking status (ever vs never) interaction (2df test)[29455858;29455858];Red blood cell count[27863252];Systolic blood pressure x smoking status (current vs non-current) interaction (2df test)[29455858;29455858];Hepcidin/ferritin ratio[27846281;27846281];Systolic blood pressure (cigarette smoking interaction)[29455858];Iron status biomarkers (transferrin levels)[25352340];Iron status biomarkers (iron levels)[25352340;28334935];Hemoglobin levels[28017375];Diastolic blood pressure x smoking status (current vs non-current) interaction (2df test)[29455858;29455858];LDL cholesterol[20686565;24097068];",0.23865030674846627,0.18695203713254255,0.2986165492038632,0.43784530386740333
1599,10918,HGD,607474,203500;,,Alkaptonuria,Disease-causing germline mutation(s) (loss of function) in,,0.14576687116564419,0.5407426508509541,0.5152701644479248,0.5664518109269491
